period,flow,reporterCode,partnerCode,primaryValue
2016,X,841,414,3295941825.0
2016,X,841,214,7750713458.0
2016,X,841,124,266701920354.0
2016,X,841,704,10098439060.0
2016,X,841,586,2107771529.0
2016,X,841,446,632019604.0
2016,X,841,144,367855266.0
2016,X,841,710,4599872063.0
2016,X,841,826,55188786399.0
2016,X,841,230,826095277.0
2016,X,841,757,22717474048.0
2016,X,841,404,397473455.0
2016,X,841,764,10500771977.0
2016,X,841,554,3567082022.0
2016,X,841,50,905730600.0
2016,X,841,276,49369909886.0
2016,X,841,12,2191261626.0
2016,X,841,344,34872648124.0
2016,X,841,616,3623452748.0
2016,X,841,784,22382490291.0
2016,X,841,818,3485903685.0
2016,X,841,410,42260903971.0
2016,X,841,702,26782281693.0
2016,X,841,528,39637944994.0
2016,X,841,288,831984010.0
2016,X,841,384,291255359.0
2016,X,841,360,6024280581.0
2016,X,841,604,7926940524.0
2016,X,841,36,22132931153.0
2016,X,841,356,21647174405.0
2016,X,841,608,8193675662.0
2016,X,841,376,13199390724.0
2016,X,841,392,63245045907.0
2016,X,841,24,1249758184.0
2016,X,841,834,157566012.0
2016,X,841,170,13047286078.0
2016,X,841,792,9354231999.0
2016,X,841,76,30193264309.0
2016,X,841,368,1266311141.0
2016,X,841,496,55261990.0
2016,X,841,218,4163585640.0
2016,X,841,251,32634010502.0
2016,X,841,192,241836581.0
2016,X,841,682,17993658268.0
2016,X,841,512,1803272983.0
2016,X,841,724,10401206965.0
2016,X,841,634,4926689354.0
2016,X,841,643,5831102662.0
2016,X,841,504,1932549861.0
2016,X,841,484,230228819654.0
2016,X,841,31,433527165.0
2016,X,841,364,172454308.0
2016,X,841,58,32096609342.0
2016,X,841,32,8526705607.000001
2016,X,841,458,11774071659.0
2016,X,841,152,12931529741.0
2016,X,841,156,115594770316.0
2016,X,841,380,16721742684.0
2016,X,356,344,13209853335.0
2016,X,356,458,4188651283.0
2016,X,356,288,712147993.0
2016,X,356,12,859760560.0
2016,X,356,36,2948411864.0
2016,X,356,604,682354308.0
2016,X,356,31,31627281.0
2016,X,356,392,3827283090.0
2016,X,356,586,1592581193.0
2016,X,356,764,2962383786.0
2016,X,356,757,1034168626.0
2016,X,356,643,1813884286.0
2016,X,356,144,4118253525.0
2016,X,356,704,5957676893.0
2016,X,356,156,8916073006.0
2016,X,356,710,3243164785.0
2016,X,356,496,9755791.0
2016,X,356,251,4867882906.0
2016,X,356,818,2089418984.0
2016,X,356,218,165236454.0
2016,X,356,58,5356387126.0
2016,X,356,376,2913649865.0
2016,X,356,608,1474264358.0
