model,MAE,RMSE,MAPE_pct
naive_drift,131243925474.50275,162652127466.13214,8.709076273372403
naive,153268022124.0,178325725210.67706,10.042453449540863
arima,173691504169.52637,192961010581.54825,11.533389450358067
ets_holt,210572498294.77972,273040236204.3585,13.989902035243082
