method,current_price,simulated_median_12m,simulated_p10_12m,simulated_p90_12m,prob_increase_gt20pct,prob_decrease_gt20pct,prob_exceeds_historical_high
independent_bootstrap,16651.0,17150.63402406554,12844.914492946586,23513.28577142239,25.180000000000003,13.38,0.01
block_bootstrap_6mo,16651.0,17057.28603494032,12042.883121732768,24923.570010854393,27.439999999999998,17.32,0.27
