supplier,primaryValue,share_pct
China,87369777322.0,34.10493125218915
Singapore,44454014876.402,17.352695265044755
United States,19439249562.0,7.588141920778581
Japan,13939096329.764,5.4411483766542466
Indonesia,12804353912.847,4.99819987313148
Thailand,11965144908.165,4.670613306149458
"Korea, Rep.",9754887002.0,3.807835624325336
Germany,6900534554.658,2.6936346160368068
India,6677685686.0,2.6066452064472796
Australia,5735815469.283,2.2389846724020677
