customer,primaryValue,share_pct
United States,37309226826.0,19.150109754870716
Singapore,27581069045.0,14.15683315635851
China,23753270471.0,12.192097645930982
Japan,15250309112.0,7.827690845820075
Thailand,10628237217.0,5.455270090574879
"Hong Kong SAR, China",9071549843.0,4.656252351473755
India,8653350696.0,4.4415987591655295
Indonesia,6665869404.0,3.421462773634232
Australia,6445327279.0,3.3082627355037393
Viet Nam,5730266198.0,2.941235612522895
