year,section,exports,imports
2016,2,22513559134.0,24881865450.0
2016,3,111163181868.0,72183853152.0
2016,4,50637086130.0,5469000098.0
2016,5,64668718552.0,73570853644.0
2016,6,70014910871.0,87921665890.0
2016,7,338784586743.0,316347705639.0
2016,8,89029446648.0,54558821733.0
2016,9,5028225351.0,12584956679.0
2016,overall,786964158447.0,698818667620.0
2017,0,31841825084.0,51288219950.0
2017,1,4421868633.0,3685782201.0
2017,2,28566176768.0,33687323255.0
2017,3,144012594169.0,106807608966.0
2017,4,56397963414.0,6772834854.0
2017,5,75088415413.0,86217257358.0
2017,6,82821316414.0,98036500034.0
2017,7,398808620949.0,372858014129.0
2017,8,104645563686.0,59905576106.0
2017,9,8322474874.0,17163065338.0
2017,overall,934926819404.0,836422182191.0
2018,0,31575251046.0,50173298897.0
2018,1,3570702139.0,3818381918.0
2018,2,25525905284.0,36590262061.0
2018,3,157269302327.0,126499826348.0
2018,4,47064170169.0,6656149153.0
2018,5,84859315629.0,95377583178.0
2018,6,92698730832.0,103044573830.0
2018,7,440245435242.0,381572034007.0
2018,8,112084184884.0,59774812053.0
2018,9,8693870339.0,16297094197.0
2018,overall,1003586867891.0,879804015642.0
2019,0,34094391461.0,51463239772.0
2019,1,3452652445.0,3726728678.0
2019,2,27037977702.0,41777753876.0
2019,3,143680984270.0,123544278852.0
2019,4,46796084887.0,6564533032.0
2019,5,84956989496.0,93237789436.0
2019,6,95840706938.0,99008189636.0
2019,7,433859893555.0,355962844019.0
2019,8,119268409422.0,59330864365.0
2019,9,6083825903.0,14794590014.0
2019,overall,995071916079.0,849410811680.0
2020,0,33780476620.0,55475002717.0
2020,1,2594935457.0,2627278832.0
2020,2,24750801541.0,41112454434.0
2020,3,112015298093.0,95148985016.0
2020,4,54980132531.0,8913760043.0
2020,5,74959955405.0,85580403986.0
2020,6,88472913535.0,91045442250.0
2020,7,444197861832.0,349647546596.0
2020,8,144649873420.0,55888620439.0
2020,9,3424517485.0,15041825430.0
2020,overall,983826765919.0,800481319743.0
2021,0,38694558466.0,63650626656.0
2021,1,2497802704.0,2630412222.0
2021,2,28919842737.0,58732534736.0
2021,3,154806106050.0,123644774841.0
2021,4,79146709739.0,14562110402.0
2021,5,107515877249.0,111681266608.0
2021,6,127468692921.0,106424352576.0
2021,7,521788685334.0,416772377920.0
2021,8,176055469266.0,65281147487.0
2021,9,4128348365.0,23964370665.0
2021,overall,1241022092831.0,987343974113.0
2022,0,44610210833.0,75621407314.0
2022,1,2756650246.0,3645082775.0
2022,2,31262920541.0,53209181724.0
2022,3,264757937327.0,241667518075.0
2022,4,100658316648.0,18248041690.0
2022,5,125677068690.0,134305133335.0
2022,6,138745710010.0,126842772489.0
2022,7,672352328155.0,533777515615.0
2022,8,162735124065.0,82795644954.0
2022,9,6453008119.0,23699094185.0
2022,overall,1550009274634.0,1293811392156.0
2023,0,46461745570.0,78786622385.0
2023,1,3105335041.0,3615721975.0
2023,2,29661867940.0,43711211326.0
2023,3,236033988963.0,231552049141.0
2023,4,74888362420.0,11225736552.0
2023,5,106155122165.0,120955537268.0
2023,6,127578447484.0,125495107406.0
2023,7,650205651441.0,500554994573.0
2023,8,143781056105.0,78335874122.0
2023,9,8327127229.0,16811185901.0
2023,overall,1426198704358.0,1211044040649.0
