Country,2016,2023,pagerank_change,pagerank_change_pct
India,0.034194643066594435,0.04936942436832655,0.015174781301732117,44.37765667616142
Netherlands,0.031093878086584457,0.036285533061412203,0.005191654974827747,16.696711038652023
Belgium,0.021282346625465444,0.02443000548292424,0.003147658857458796,14.789999020561284
Poland,0.012001757033515317,0.01480242656869349,0.002800669535178173,23.33549602243412
United States,0.14656846575523355,0.14899372552812035,0.0024252597728867953,1.6546941119905956
Mexico,0.0313993206637881,0.033436149605576566,0.002036828941788464,6.4868567176916025
Turkiye,0.014003335034749608,0.015772282791265094,0.0017689477565154856,12.632331884696036
Brazil,0.012330057301430731,0.013517895586163233,0.0011878382847325016,9.633680166228187
Viet Nam,0.013766416321651409,0.014726393164852464,0.0009599768432010554,6.973324217220078
Saudi Arabia,0.012402924646767115,0.013320799251347668,0.0009178746045805531,7.400469088714501
Malaysia,0.012631146582554173,0.013400913003142946,0.0007697664205887737,6.094192760394024
Australia,0.01347935289340158,0.014223098023021088,0.0007437451296195084,5.5176619790374914
Indonesia,0.010309759086681455,0.011043823433625321,0.0007340643469438655,7.1200921454329436
Bangladesh,0.00553654849929983,0.006206261176773774,0.0006697126774739435,12.096212605355806
South Africa,0.007688247038115001,0.008139694336907777,0.0004514472987927759,5.871914580198778
Morocco,0.005125602714576872,0.005566515507166286,0.00044091279258941414,8.602164801721512
Italy,0.026514257189025916,0.026950938483237572,0.0004366812942116563,1.6469678599647652
Tanzania,0.0036568995683738488,0.003984204395437382,0.0003273048270635336,8.950336779663859
Ecuador,0.0036944418539692067,0.00399943274090888,0.0003049908869396734,8.255398216972875
Cote d'Ivoire,0.0030640829809105864,0.003342061137473702,0.0002779781565631157,9.072148446857863
Dominican Republic,0.003792144389497631,0.00405442012184558,0.00026227573234794896,6.916290768735589
Singapore,0.018216524348516408,0.018330302031698407,0.00011377768318199949,0.6245850251410001
"Macao SAR, China",0.003155219659320639,0.0032326310951925306,7.741143587189185e-05,2.45344046469842
Mongolia,0.0026873162300474333,0.0027529150334771836,6.559880342975029e-05,2.441052627014151
Philippines,0.007912510496416926,0.007961323748357965,4.881325194103919e-05,0.6169123183235481
Chile,0.006466464509343767,0.006508828639277306,4.236412993353922e-05,0.6551358918358785
China,0.0890372975701138,0.08903991448554678,2.6169154329763744e-06,0.0029391227096997596
Azerbaijan,0.0031088347324411607,0.0031008414866057934,-7.99324583536723e-06,-0.2571138874626122
Israel,0.007071863989380646,0.007043281358159157,-2.8582631221489227e-05,-0.4041739386448917
Peru,0.00500860460451397,0.004976746336835265,-3.185826767870478e-05,-0.6360707261657828
Angola,0.0031695585814586827,0.0031314673635160955,-3.8091217942587234e-05,-1.2017830547576436
Kuwait,0.004985158467884363,0.004926838574923357,-5.831989296100574e-05,-1.1698703930219434
New Zealand,0.004494676772883956,0.004417475484191165,-7.720128869279086e-05,-1.7176160287774245
Ghana,0.0035843611590446966,0.003492786393455431,-9.157476558926568e-05,-2.5548420353286083
Ethiopia,0.0038972125021001255,0.0037845466037458664,-0.00011266589835425911,-2.8909354646056817
Kenya,0.004197491353099313,0.0040627137517761595,-0.00013477760132315358,-3.21090837325102
Colombia,0.005609734606914186,0.005461395312231222,-0.0001483392946829646,-2.6443192963198525
Thailand,0.012141182242941827,0.011950644558152214,-0.0001905376847896132,-1.5693503398351516
Qatar,0.005308113871528158,0.005116962921626194,-0.00019115094990196455,-3.601108689986221
"Korea, Rep.",0.024018660238767694,0.02381683575851706,-0.00020182448025063415,-0.8402820067577088
Cuba,0.0029984821228517867,0.002770419856665958,-0.00022806226618582882,-7.605923825516225
Iraq,0.00735880139677645,0.007006197384526413,-0.0003526040122500372,-4.791595712917274
"Egypt, Arab Rep.",0.006796713970118209,0.006409051244903973,-0.0003876627252142363,-5.703678673526613
Oman,0.005168614188512015,0.004772652259271058,-0.000395961929240957,-7.660891581365059
Spain,0.02119615316713348,0.02078279262132738,-0.00041336054580609974,-1.9501677617948743
Argentina,0.0058641215474507435,0.005384016192784548,-0.0004801053546661955,-8.187165814714525
Sri Lanka,0.003935156537339848,0.003452945084033738,-0.0004822114533061103,-12.253933197587196
Russian Federation,0.010795471340186014,0.009772613069444647,-0.0010228582707413666,-9.474882925526273
Algeria,0.005645022535562311,0.004485054435265744,-0.001159968100296567,-20.548511418493753
Pakistan,0.006349085951096533,0.005158440929937429,-0.0011906450211591037,-18.75301469109062
Switzerland,0.0200693211776979,0.018853701307829214,-0.0012156198698686851,-6.057105066510903
United Arab Emirates,0.022133790958634703,0.020816547153264246,-0.001317243805370457,-5.951279687389388
Canada,0.03626764815654101,0.0349195203905564,-0.0013481277659846067,-3.717163462504436
France,0.03580301843207298,0.03404745369107742,-0.0017555647409955577,-4.903398701777872
Germany,0.05560211484525113,0.05340599145426017,-0.002196123390990956,-3.949711979666759
"Iran, Islamic Rep.",0.007168058768319616,0.004094628944872186,-0.00307342982344743,-42.876738637118116
Japan,0.03324325825546947,0.027410965978107504,-0.005832292277361966,-17.544285919694367
"Hong Kong SAR, China",0.03474942318969341,0.02654240234027759,-0.008207020849415818,-23.617718212514095
United Kingdom,0.040249330190388455,0.031240156956087166,-0.009009173234301289,-22.383411578989907
