supplier,primaryValue,share_pct
China,34306465952.0,25.616679719258734
Singapore,17453435331.0,13.032501322070935
Japan,13733979367.0,10.255179044311804
Thailand,10208534484.0,7.622725075952943
"Korea, Rep.",8838128061.0,6.59944093842844
Indonesia,7092645712.0,5.296087152220517
Germany,5732436536.0,4.280417311393981
Viet Nam,4535963673.0,3.387009573997214
Australia,3762046492.0,2.8091246766531666
"Hong Kong SAR, China",3053256317.0,2.279870193648809
