Country,ISO3,Project_007_Region,Official_Region,Sub_Region,Source,Notes
Comoros,COM,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Congo, Dem. Rep.",COD,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Congo, Rep.",COG,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Djibouti,DJI,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Egypt, Arab Rep.",EGY,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Northern Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Eritrea,ERI,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Eswatini,SWZ,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Ethiopia,ETH,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
